type,timestamp,denom,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,2022-05-11 06:36:58,usd,745687699.00000000,terra1mr8j3d3gc56l97nstl2w5q9p4hehrfr82hy8yu,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,07A12C93FFADF2855AEA7A919155FB1F328FF176B7E17DC0045EA5CF9C118B9F
/cosmos.bank.v1beta1.MsgSend,2022-05-11 06:40:01,usd,745000000.00000000,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,581FE395FDC381DA5A53067E01EC04F5F8C501ED9064E278F505078E641FEB18
/cosmos.bank.v1beta1.MsgSend,2022-05-09 21:03:21,usd,576260330.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,63FAFF040AA7BEF56DC6E531C22326D750A9F356E0237C46AB117B74A7F5739A
/cosmos.bank.v1beta1.MsgSend,2022-05-10 02:03:56,usd,423886800.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,2FFB95786009488FAA7952B11B230859CA5D59209B51C121168B1E0C591E47D6
/cosmos.bank.v1beta1.MsgSend,2022-05-10 09:41:48,usd,402795052.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,0666182C7E6F364869B4270A6FA262409BA8C6DFA0BF9C50337C93699B1C8BCA
/cosmos.bank.v1beta1.MsgSend,2022-05-11 07:40:14,usd,400000000.00000000,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,15574D7CEA4A4473CE1E92B6EA681AA05F9CE29BE90234D50EAD0225C1169A29
/cosmos.bank.v1beta1.MsgSend,2022-05-08 02:00:12,usd,346470224.77880000,terra1amr42cacpt6jjspctxjalehsulx30nmvpp4uhx,terra1fvfvd90gu970rxrz206xrkjsg6nvm2ea0cwqxq,2B8AF9C4BC7627108D7ED4F6072363160C0E255D66F23D9723B5FE0ED8EEDFA2
/cosmos.bank.v1beta1.MsgSend,2022-05-08 02:01:21,usd,346470224.47880000,terra1fvfvd90gu970rxrz206xrkjsg6nvm2ea0cwqxq,terra1dr7ackrxsqwmac2arx26gre6rj6q3sv29fnn7k,83D1632425210410266E9E257C4AE64AC60E1D4BF1C3DE8EFC0B95C1482E024A
/cosmos.bank.v1beta1.MsgSend,2022-05-09 19:18:58,usd,265598784.87489200,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,C829AAE1D3DDF4432BD5B27C28CDC5EA44EA88232B452302F2CF73D1271D43CC
/cosmos.bank.v1beta1.MsgSend,2022-05-08 03:00:45,usd,175794822.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,1F4D59B330859CC6F9F5BD662C2BA1ACDD07EE57E5D754B855194C0708BCE67D
